,Model,Accuracy_train,Accuracy_test,Precision_test,Recall_test,F1_test
0,Logistic Regressor,0.9089556769884639,0.9117289946576008,0.7245080500894454,0.41411042944785276,0.5270006506180871
1,Decision Tree Classifier,0.9068913175470552,0.9068722680913065,0.6039408866995074,0.6267893660531697,0.6151530356246864
2,Gradient Boost Classifier,0.9136915604128719,0.9122146673142302,0.7339449541284404,0.40899795501022496,0.525279054497702
3,XGBoost Classifier,0.9252276867030965,0.9187712481787276,0.7024901703800787,0.5480572597137015,0.6157380815623205
4,Logistic Regressor with under resampled data,0.8636486122338992,0.8464439655172413,0.8324974924774323,0.8755274261603375,0.853470437017995
5,Decision Tree Classifier with under resampled data,0.847210994341148,0.8351293103448276,0.8275510204081633,0.8554852320675106,0.841286307053942
6,Gradient Boost Classifier with under resampled data,0.881568310428456,0.8658405172413793,0.8245125348189415,0.9367088607594937,0.877037037037037
7,XGBoost Classifier with under resampled data,0.9071678792778227,0.8723060344827587,0.8369668246445497,0.9314345991561181,0.8816774837743385
