Model,Accuracy_train,Accuracy_test,Precision_test,Recall_test,F1_test
XGBoost Classifier,0.9112417786589948,0.8938361488056511,0.8590737898031151,0.9422149228560059,0.8987000457777568
Gradient Boost Classifier,0.8870985593111463,0.8805788177339903,0.8529085408995145,0.9198740334254646,0.8851021997725473
Decision Tree Classifier,0.858644222061308,0.8557892810670136,0.8240304699529064,0.909802662859234,0.8628913952939271
Logistic Regressor,0.8709851429676666,0.8709851054930755,0.8591833529467265,0.8875935365634344,0.8730987101707639
